key	ru	en	pl	uk	de	fr	es	it	pt	nl
language	Язык приложения	App language	Język aplikacji	Мова застосунку	App-Sprache	Langue de l’application	Idioma de la aplicación	Lingua dell’app	Idioma da aplicação	App-taal
continue	Продолжить	Continue	Dalej	Продовжити	Weiter	Continuer	Continuar	Continua	Continuar	Doorgaan
back	Назад	Back	Wstecz	Назад	Zurück	Retour	Atrás	Indietro	Voltar	Terug
cancel	Отмена	Cancel	Anuluj	Скасувати	Abbrechen	Annuler	Cancelar	Annulla	Cancelar	Annuleren
done	Готово	Done	Gotowe	Готово	Fertig	Terminé	Listo	Fatto	Concluído	Klaar
create	Создать	Create	Utwórz	Створити	Erstellen	Créer	Crear	Crea	Criar	Maken
save	Сохранить	Save	Zapisz	Зберегти	Speichern	Enregistrer	Guardar	Salva	Guardar	Opslaan
delete	Удалить	Delete	Usuń	Видалити	Löschen	Supprimer	Eliminar	Elimina	Eliminar	Verwijderen
confirm	Подтверждение	Confirmation	Potwierdzenie	Підтвердження	Bestätigung	Confirmation	Confirmación	Conferma	Confirmação	Bevestiging
search	Поиск	Search	Szukaj	Пошук	Suchen	Rechercher	Buscar	Cerca	Pesquisar	Zoeken
settings	Настройки	Settings	Ustawienia	Налаштування	Einstellungen	Paramètres	Ajustes	Impostazioni	Definições	Instellingen
today	Мой день	My day	Mój dzień	Мій день	Mein Tag	Ma journée	Mi día	La mia giornata	O meu dia	Mijn dag
favorites	Избранное	Favorites	Ulubione	Обране	Favoriten	Favoris	Favoritos	Preferiti	Favoritos	Favorieten
planned	Запланировано	Scheduled	Zaplanowane	Заплановано	Geplant	Planifié	Programadas	Pianificate	Agendadas	Gepland
all	Все задачи	All tasks	Wszystkie zadania	Усі завдання	Alle Aufgaben	Toutes les tâches	Todas las tareas	Tutte le attività	Todas as tarefas	Alle taken
projects	Проекты	Projects	Projekty	Проєкти	Projekte	Projets	Proyectos	Progetti	Projetos	Projecten
project	Проект	Project	Projekt	Проєкт	Projekt	Projet	Proyecto	Progetto	Projeto	Project
lists	Списки	Lists	Listy	Списки	Listen	Listes	Listas	Liste	Listas	Lijsten
my_lists	Мои списки	My lists	Moje listy	Мої списки	Meine Listen	Mes listes	Mis listas	Le mie liste	As minhas listas	Mijn lijsten
tasks	Задачи	Tasks	Zadania	Завдання	Aufgaben	Tâches	Tareas	Attività	Tarefas	Taken
add	Добавить	Add	Dodaj	Додати	Hinzufügen	Ajouter	Añadir	Aggiungi	Adicionar	Toevoegen
new_list	Новый список	New list	Nowa lista	Новий список	Neue Liste	Nouvelle liste	Nueva lista	Nuova lista	Nova lista	Nieuwe lijst
new_project	Новый проект	New project	Nowy projekt	Новий проєкт	Neues Projekt	Nouveau projet	Nuevo proyecto	Nuovo progetto	Novo projeto	Nieuw project
